area,cell_label,file,mean_int,rbs,var_int
372.0,1.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos11.ome.tif,14406.436216363543,sd1,603102.9052688478
413.0,2.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos11.ome.tif,14201.100670527034,sd1,509276.84007013036
363.0,3.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos11.ome.tif,14856.097541642106,sd1,689662.4095477427
176.0,4.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos11.ome.tif,14213.719782793063,sd1,585379.890243868
160.0,5.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos11.ome.tif,14186.016872469772,sd1,594097.5130414299
372.0,1.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos18.ome.tif,10255.928845218477,sd1,306495.78760271287
413.0,2.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos18.ome.tif,10484.06951670547,sd1,378694.1453878417
363.0,3.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos18.ome.tif,10817.635071524144,sd1,445485.8667928563
176.0,4.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos18.ome.tif,12828.376578260832,sd1,446297.06432551687
160.0,5.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos18.ome.tif,12976.053972666055,sd1,419260.0387450381
372.0,1.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos19.ome.tif,13350.461398528778,sd1,601449.6026678182
413.0,2.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos19.ome.tif,13087.626206940446,sd1,472243.4304080252
363.0,3.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos19.ome.tif,13012.101743965899,sd1,477815.07586115826
176.0,4.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos19.ome.tif,14093.43092443858,sd1,531611.5489702323
160.0,5.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos19.ome.tif,13523.734206261788,sd1,507677.70865107176
372.0,1.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos10.ome.tif,14193.894108415248,sd1,479908.6207523142
413.0,2.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos10.ome.tif,14054.392879730978,sd1,459698.2065291621
363.0,3.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos10.ome.tif,14317.955490774375,sd1,566567.3266302185
176.0,4.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos10.ome.tif,14499.905563326676,sd1,317341.0316249033
160.0,5.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos10.ome.tif,14589.974577217425,sd1,685951.9368025546
372.0,1.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos7.ome.tif,14345.276102855381,sd1,535683.4247055533
413.0,2.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos7.ome.tif,16166.763769109717,sd1,6369523.01592701
